insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-dabfdbbd-3c2f-4973-82b8-f46fa15b8cbe,ptinucfl576g,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:10.379729198Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,n 94,2020-11-25T00:38:00.021Z,projects/cloud-map-reduce/traces/a4e6561f6510f6d96e57b520851853bb
000000-6194c374-3f0b-44a2-b343-852d9bfc7d8e,ptinucfl576g,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:10.379729198Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:38:00.004352757Z,projects/cloud-map-reduce/traces/a4e6561f6510f6d96e57b520851853bb
000000-1e28dbad-1863-41b6-9217-f5198fab3c2b,ptinsdkg84fa,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:37:59.421277681Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2435 ms, finished with status code: 200",2020-11-25T00:37:51.540863276Z,projects/cloud-map-reduce/traces/03bf6d817a2cda4f12af7468f9a6f46d
000000-12f0485d-3ee2-497d-889b-ab69fe74bd62,ptinsdkg84fa,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:37:59.421277681Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,n 97,2020-11-25T00:37:49.189Z,projects/cloud-map-reduce/traces/03bf6d817a2cda4f12af7468f9a6f46d
000000-28d51c13-bd64-4e7c-8b40-0b93a9625dfd,ptinsdkg84fa,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:37:59.421277681Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:37:49.106615373Z,projects/cloud-map-reduce/traces/03bf6d817a2cda4f12af7468f9a6f46d
000000-7f1f192e-ce99-4c50-a263-d2581ecfc5c7,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:33.976049742Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 10885 ms, finished with status code: 200",2020-11-25T00:35:23.207360024Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-5cc7146b-e559-47fd-acf6-7ca24ada4060,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,n 82,2020-11-25T00:35:22.218Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-5f5f433a-3485-4944-a2b0-c01d6c157d13,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,"OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k",2020-11-25T00:35:14.449Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-8eab8fb4-e137-473e-af48-3cc37002a814,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,[2020-11-25 00:35:14 +0000] [6] [INFO] Booting worker with pid: 6,2020-11-25T00:35:14.176Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-28789419-a78d-435c-9eb5-df7fa5aed0b5,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,[2020-11-25 00:35:14 +0000] [1] [INFO] Using worker: threads,2020-11-25T00:35:14.118Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-a1c6c739-69b7-4467-bdb5-49a7c329aa95,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,[2020-11-25 00:35:14 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1),2020-11-25T00:35:14.117Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-cc7fa8c0-d177-494e-ad33-b0c51805cc71,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,[2020-11-25 00:35:14 +0000] [1] [INFO] Starting gunicorn 20.0.4,2020-11-25T00:35:14.116Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
000000-5527cf8d-bc0b-4159-b3d8-312a60ed2b89,ptinq60igfbp,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:35:22.571453128Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:35:12.322723715Z,projects/cloud-map-reduce/traces/48ccc80a2d306fd0ac81dca96c440d08
